1 Vuggy structure	geologic structure
8.1.2 $Matrix supported fabric	sedimentary fabric
8.1.3 $Skeletal framework	biogenic sedimentary fabric
8.1.4 $Primary Sedimentary Fabric	fabric
8.1.5 $Bioturbated fabric	sedimentary fabric
8.1.6 $Mottled sedimentary fabric	sedimentary fabric
8.1.7 $Massive sedimentary fabric	massive fabric; sedimentary fabric
8.1.8 $Bedding fabric	sedimentary fabric
8.1.8.1 $Crude or indistinct bedding	bedding fabric
8.1.8.2 $Contorted or variable bedding	bedding fabric
8.1.8.3 $Parallel bedding	bedding fabric
8.1.8.4 $Parallel bedding lamination 	bedding fabric
8.1.8.5 $Bedding lamination structure	bedding fabric
8.1.8.5.1 $Undulating lamination	Bedding lamination structure
8.1.8.5.2 $Impersistent lamination	Bedding lamination structure
8.1.8.5.3 $Convolute lamination	Bedding lamination structure
8.1.8.5.4 $Varve lamination	Bedding lamination structure
8.1.8.5.5 $Fissile lamination	Bedding lamination structure
8.1.8.5.6 $Cryptomicrobial lamination	Bedding lamination structure
8.1.8.5.6.1 $Stromatolitic lamination	cryptomicrobial lamination
8.1.8.5.7 $Planar lamination	Bedding lamination structure
8.1.8.5.8 $Irregular lamination	Bedding lamination structure
8.1.8.6 $Sedimentary layering	bedding fabric, layering
8.2 $Involution fabric	sedimentary structure
8.3 $Bedding parting lineation	lineation; sedimentary structure
8.4 $Fenestral structure	sedimentary structure
8.5 $Pre-lithification sedimentary structure	sedimentary structure
8.5.1 $Sedimentary dike	pre-lithification sedimentary structure
8.5.2 $Load and founder structures	pre-lithification sedimentary structure
8.5.3 $Dish structure	pre-lithification sedimentary structure
8.5.4 $Subaquesous shrinkage cracks	pre-lithification sedimentary structure
8.6 $Graded bedding
8.6.1 $Complex graded bedding fabric	graded bedding
8.6.2 $Normal graded bedding	graded bedding
8.6.3 $Reverse graded bedding 	graded bedding
8.7 $Cross stratified structure	sedimentary structure
8.7.1 $Large scale tabular cross stratification	cross stratification
8.7.2 $Large scale cross stratification	cross stratification
8.7.3 $Large scale trough cross stratification	cross stratification
8.7.4 $Lenticular cross stratification	cross stratification
8.7.5 $Form set cross stratification	cross stratification
8.7.6 $Chevron cross stratification	cross stratification
8.7.7 $Flaser cross lamination	cross stratification
8.7.8 $Climbing ripple cross lamination	cross stratification
8.7.9 $Hummocky or Swaley cross stratification	cross stratification
8.7.10 $Trough cross stratification	cross stratification
8.7.11 $Small scale cross stratification 	cross stratification
8.7.12 $Tabular cross stratification	cross stratification
8.7.13 $Small scale tabular cross stratification	cross stratification
8.7.14 $Small scale trough cross stratification 	cross stratification
9 $Unidentified structure	Geologic structure
10 $
